sku_id,品类,单品,量贩渠道,是零食很忙或赵一鸣,量贩规格,量贩价,量贩单位价,量贩价格类型,含促销,vs商超_渠道,vs商超_规格,vs商超_价,vs商超_单位价,vs商超_同规格,vs商超_含促销,vs商超_单件价差,vs商超_折算价差,vs商超_单位价便宜%,vs便利店_渠道,vs便利店_规格,vs便利店_价,vs便利店_单位价,vs便利店_同规格,vs便利店_含促销,vs便利店_单件价差,vs便利店_折算价差,vs便利店_单位价便宜%,vs电商_渠道,vs电商_规格,vs电商_价,vs电商_单位价,vs电商_单件价差,vs电商_折算价差,vs电商_单位价便宜%,vs电商_同规格,vs电商_含促销
FB-01,方便速食,统一 老坛酸菜牛肉面 桶装,零食很忙,是,120g,3.6,0.030000000000000002,标价,False,永辉超市,120g,4.0,0.03333333333333333,True,False,0.4,0.4,10.0,罗森,120g,5.3,0.04416666666666667,True,False,1.7,1.7,32.1,,,,,,,,,
FB-02,方便速食,康师傅 红烧牛肉面 桶装,好想来,否,102g,4.2,0.041176470588235294,标价,False,,,,,,,,,,京东便利店,109g,4.8,0.04403669724770642,False,False,,0.31,6.5,,,,,,,,,
FB-03,方便速食,杨掌柜 粉面菜蛋,好想来,否,162g,4.9,0.030246913580246917,标价,False,附近超市,183g,6.0,0.03278688524590164,False,False,,0.46,7.7,,,,,,,,,,,,,,,,,,
KY-01,魔芋/辣味素肉,卫龙 魔芋爽 香辣素毛肚 散装单包,好想来,否,44g,0.85,0.019318181818181818,标价,False,世纪联华,16g,0.95,0.059375,False,False,,0.64,67.5,,,,,,,,,,,,,,,,,,
PF-01,膨化/米果,乐事 原味(黄瓜味)薯片 袋装,零食很忙,是,35g,2.8,0.08,标价,False,济南华联/张小年生活超市,40.5g,3.5,0.08641975308641975,False,False,,0.26,7.4,7-Eleven,70g,7.6,0.10857142857142857,False,False,,2.0,26.3,,,,,,,,,
PF-02,膨化/米果,乐事 大波浪 铁板鱿鱼味 薯片,好想来,否,70g,5.4,0.07714285714285715,标价,False,世纪联华/物美,70g,4.14,0.059142857142857136,True,True,-1.26,-1.26,-30.4,京东便利店,70g,7.5,0.10714285714285714,True,False,2.1,2.1,28.0,,,,,,,,,
PF-03,膨化/米果,乐事 青柠味薯片,零食很忙,是,56g,4.9,0.08750000000000001,标价,False,,,,,,,,,,京东便利店,40g,5.0,0.125,False,False,,1.5,30.0,,,,,,,,,
PF-04,膨化/米果,好丽友 呀!土豆,好想来,否,38.5g,2.7,0.07012987012987014,标价,False,济南华联/张小年生活超市,70g,4.9,0.07,False,False,,-0.01,-0.2,,,,,,,,,,,,,,,,,,
PF-06,膨化/米果,上好佳 鲜虾片,量贩零食店(好想来样本),否,30g,2.5,0.08333333333333333,标价,False,,,,,,,,,,罗森,65g,7.2,0.11076923076923077,False,False,,1.78,24.8,拼多多,80g,7.8,0.0975,,1.13,14.5,False,False
PF-07,膨化/米果,旺旺 仙贝+雪饼 散称,量贩零食店(好想来样本),否,500g,19.8,0.0396,标价,False,大润发,500g,35.2,0.0704,True,False,15.4,15.4,43.8,,,,,,,,,,,,,,,,,,
PF-08,膨化/米果,乐事 散称薯片,赵一鸣零食,是,500g,29.8,0.0596,标价,False,世纪联华/物美,70g,4.14,0.059142857142857136,False,True,,-0.03,-0.8,,,,,,,,,,,,,,,,,,
YL-01,饮料,怡宝 饮用纯净水,零食很忙,是,555ml,1.2,0.002162162162162162,标价,False,大润发,555ml,1.5,0.002702702702702703,True,False,0.3,0.3,20.0,美宜佳,555ml,2.0,0.0036036036036036037,True,False,0.8,0.8,40.0,,,,,,,,,
YL-02,饮料,农夫山泉 天然水 红瓶,量贩零食店(通行做法),否,550ml,1.07,0.0019454545454545456,整包折算,False,传统零售终端,550ml,1.75,0.003181818181818182,True,False,0.68,0.68,38.9,,,,,,,,,,,,,,,,,,
YL-03,饮料,康师傅 冰红茶,零食很忙,是,468ml,2.1,0.004487179487179488,标价,False,济南华联/张小年生活超市,510ml,3.5,0.006862745098039216,False,False,,1.21,34.6,京东便利店,500ml,3.0,0.006,False,False,,0.76,25.2,,,,,,,,,
YL-04,饮料,元气森林 白桃味气泡水,零食很忙,是,439ml,3.9,0.00888382687927107,标价,False,超市/便利店主销款,480ml,4.75,0.009895833333333333,False,False,,0.49,10.2,,,,,,,,,,,,,,,,,,
YL-05,饮料,百事可乐 可乐 瓶装,量贩零食店(好想来样本),否,500ml,2.6,0.0052,标价,False,大润发,500ml,3.3,0.0066,True,False,0.7,0.7,21.2,罗森,500ml,3.5,0.007,True,False,0.9,0.9,25.7,,,,,,,,,
YL-06,饮料,脉动 青柠味维生素饮料,好想来,否,400ml,2.8,0.006999999999999999,标价,False,永辉超市,600ml,4.5,0.0075,False,False,,0.3,6.7,,,,,,,,,,,,,,,,,,
YL-07,饮料,康师傅 茉莉花茶(茉莉蜜茶),好想来,否,468ml,2.2,0.0047008547008547015,标价,False,线下商超(未具名),500ml,2.3,0.0046,False,False,,-0.05,-2.2,,,,,,,,,,,,,,,,,,
